Pan Tadeusz;Mickiewicz;2022-11-02 11:28:34;149.156.109.1;
Pan Tadeusz;Mickiewicz;2022-11-02 11:29:56;149.156.109.1;
Pan Tadeusz;Mickiewicz;2022-11-02 11:30:46;149.156.109.1;
Pan Tadeusz;Mickiewicz;2022-11-02 11:31:06;149.156.109.1;
Pan Tadeusz;Mickiewicz;2022-11-02 11:31:07;149.156.109.1;
Pan Tadeusz;Mickiewicz;2022-11-02 11:31:35;149.156.109.1;
Pan Tadeusz;Mickiewicz;2022-11-02 11:32:11;149.156.109.1;
Pan Tadeusz;Mickiewicz;2022-11-02 11:32:56;149.156.109.1;
Pan Tadeusz;Mickiewicz;2022-11-02 11:34:42;149.156.109.1;
Pan Tadeusz;Mickiewicz;2022-11-02 11:35:06;149.156.109.1;
